Date,Total,Fundamental,Momentum,Tactical,Target
18/11/2022,100.00,100.00,100.00,100.00,100
21/11/2022,100.06,99.96,100.04,100.06,100.04
22/11/2022,100.10,100.02,99.99,100.09,100.05
23/11/2022,99.92,100.07,99.97,99.88,100.07
25/11/2022,99.97,100.10,99.99,99.88,100.10
28/11/2022,100.18,100.07,100.05,100.07,100.14
29/11/2022,100.06,100.07,99.99,100.00,100.15
30/11/2022,99.90,100.15,99.88,99.86,100.16
01/12/2022,99.93,100.24,99.85,99.84,100.18
02/12/2022,99.96,100.26,99.87,99.83,100.19
05/12/2022,100.51,100.13,100.05,100.33,100.23
06/12/2022,101.00,100.17,100.15,100.68,100.25
07/12/2022,101.12,100.22,100.18,100.72,100.26
08/12/2022,101.14,100.20,100.16,100.78,100.27
09/12/2022,101.19,100.16,100.23,100.79,100.29
12/12/2022,101.18,100.24,100.18,100.76,100.33
13/12/2022,101.18,100.25,100.10,100.82,100.34
14/12/2022,101.13,100.25,100.09,100.79,100.36
15/12/2022,101.26,100.19,100.21,100.87,100.37
16/12/2022,101.34,100.19,100.26,100.88,100.38
19/12/2022,101.37,100.19,100.29,100.88,100.42
20/12/2022,101.36,100.19,100.29,100.89,100.44
21/12/2022,101.45,100.21,100.28,100.96,100.45
22/12/2022,101.47,100.21,100.29,100.97,100.47
23/12/2022,101.42,100.16,100.27,100.99,100.48
27/12/2022,101.54,100.21,100.29,101.04,100.53
28/12/2022,101.52,100.19,100.27,101.06,100.55
29/12/2022,101.39,100.14,100.25,101.00,100.56
30/12/2022,101.25,100.07,100.21,100.98,100.58
03/01/2023,101.37,100.13,100.24,101.00,100.63
04/01/2023,101.41,100.22,100.18,101.01,100.64
05/01/2023,101.59,100.25,100.22,101.12,100.66
06/01/2023,101.38,100.18,100.14,101.05,100.67
09/01/2023,101.32,100.12,100.12,101.08,100.71
10/01/2023,101.24,100.08,100.10,101.07,100.73
11/01/2023,101.13,100.14,100.00,100.99,100.74
12/01/2023,100.77,100.11,99.87,100.80,100.75
13/01/2023,100.61,100.08,99.78,100.75,100.77
17/01/2023,100.82,100.14,99.84,100.84,100.82
18/01/2023,101.06,100.11,99.94,101.01,100.84
19/01/2023,101.09,100.08,99.94,101.08,100.85
20/01/2023,100.84,100.11,99.83,100.91,100.86
23/01/2023,100.74,100.11,99.79,100.83,100.90
24/01/2023,100.64,100.06,99.77,100.81,100.92
25/01/2023,100.49,100.03,99.75,100.71,100.93
26/01/2023,100.50,100.13,99.75,100.62,100.95
27/01/2023,100.37,100.01,99.74,100.61,100.96
30/01/2023,100.60,99.99,99.82,100.79,101.00
31/01/2023,100.49,100.05,99.72,100.73,101.01
01/02/2023,100.13,100.15,99.60,100.38,101.03
02/02/2023,100.41,100.22,99.58,100.62,101.04
03/02/2023,100.75,100.06,99.56,101.13,101.05
06/02/2023,101.02,99.93,99.62,101.48,101.10
07/02/2023,100.99,99.93,99.62,101.44,101.11
08/02/2023,100.90,99.81,99.64,101.46,101.12
09/02/2023,100.84,99.73,99.67,101.45,101.14
10/02/2023,100.92,99.75,99.67,101.50,101.15
13/02/2023,100.80,99.70,99.65,101.45,101.19
14/02/2023,100.75,99.72,99.66,101.38,101.21
15/02/2023,100.82,99.73,99.65,101.44,101.22
16/02/2023,100.88,99.66,99.68,101.55,101.23
17/02/2023,100.77,99.66,99.66,101.46,101.25
21/02/2023,100.57,99.22,99.78,101.59,101.30
22/02/2023,100.58,99.21,99.81,101.58,101.32
23/02/2023,100.61,99.27,99.79,101.56,101.33
24/02/2023,100.49,99.04,99.82,101.65,101.34
27/02/2023,100.58,99.15,99.84,101.61,101.38
28/02/2023,100.63,99.17,99.87,101.61,101.40
01/03/2023,100.79,99.40,99.79,101.61,101.41
02/03/2023,100.87,99.47,99.79,101.61,101.42
03/03/2023,101.01,99.66,99.76,101.60,101.44
06/03/2023,100.74,99.41,99.74,101.60,101.48
07/03/2023,100.80,99.20,99.83,101.78,101.49
08/03/2023,100.75,99.19,99.83,101.75,101.51
09/03/2023,100.77,98.87,99.97,101.94,101.52
10/03/2023,100.55,98.72,100.00,101.85,101.53
13/03/2023,100.54,98.81,99.97,101.77,101.58
14/03/2023,100.73,98.99,99.84,101.92,101.59
15/03/2023,100.77,98.75,99.98,102.07,101.60
16/03/2023,100.62,98.92,99.81,101.91,101.62
17/03/2023,100.71,98.85,99.79,102.09,101.63